,SAMPLE_ID,SumOfLength.cm.,SumOfProjArea.cm2.,SumOfSurfArea.cm2.,SumOfAvgDiam.mm.,SumOfRootVolume.cm3.,STEM,COTS_TOTAL,LEAF_TOTAL,Total.Of.PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L.SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT,SPECIES,LOCATION_CODE,POP_CODE,SAMPLE_NUM,LETTER,COLOR,POP_ID,SLA,LW_Max_A,LW_Max_B,BW_Max,LW_Max_Sum,LDMC,SRL,RMR,RALAR
324,HEVI_NMNW_NC_5_H3_G,18.4117,0.4051,1.2728,0.22,0.007,0.0475,NA,NA,0.0475,NA,NA,3-Jul,A1,G,14-Jul,14-Aug,3,1.6,3,NA,0.0102,0.0049,NA,NA,0.0057,0.0011,0.0029,0.0018,0.0036,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,HEVI,NMNW,NC,5,H3,G,HEVI_NMNW_NC,NA,NA,NA,NA,NA,0.192982456,460.2925,0.121212121,NA
326,HEVI_NMNW_NC_6_H1_O,3.2776,0.0838,0.2633,0.2557,0.002,0.0737,0.2103,NA,0.284,NA,NA,3-Jul,B9,O,,14-Jul,1,1.5,NA,2,0.0062,0.005,0.0062,5.00E-04,0.0028,2.00E-04,0.033,NA,0.001,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,HEVI,NMNW,NC,6,H1,O,HEVI_NMNW_NC,NA,NA,NA,NA,NA,0.071428571,327.76,0.125,0.227841218
327,HEVI_NMNW_NC_7_H2_O,1.2982,0.0413,0.1299,0.3185,0.001,0.045,0.1678,NA,0.257,NA,0.0442,3-Jul,A4,O,20-Jul,27-Feb,2,1.2,2,2,0.0049,0.0041,0.0031,6.00E-05,0.0012,NA,0.000215,5.00E-05,5.00E-04,4.30E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,HEVI,NMNW,NC,7,H2,O,HEVI_NMNW_NC,NA,NA,NA,NA,NA,NA,301.9069767,0.281045752,0.138451224
329,HEVI_NMNW_ND_1_H3_G,38.2592,0.9066,2.8482,0.237,0.017,0.0327,0.1458,NA,0.1785,NA,NA,30-Jun,A5,G,21-Jul,11-Aug,3,1.5,3,2,0.0185,0.0058,0.0027,6.00E-04,0.0044,9.00E-04,0.0017,5.00E-04,0.011,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,1,H3,G,HEVI_NMNW_ND,NA,NA,NA,NA,NA,0.204545455,159.4133333,0.545454545,0.835499032
333,HEVI_NMNW_ND_12_H1_G,12.0118,0.3027,0.9511,0.252,0.006,0.0718,0.2153,0.0331,0.3202,0.0331,NA,26-Jul,F10,G,3-Aug,4-Aug,1,1.5,1,3,0.0105,0.0079,0.0097,7.00E-04,NA,NA,0.0025,NA,0.0029,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,12,H1,G,HEVI_NMNW_ND,Inf,NA,NA,NA,NA,NA,240.236,0.416666667,0.485952801
335,HEVI_NMNW_ND_14_H2_O,31.8818,0.7054,2.2161,0.2213,0.012,0.0456,0.1587,NA,0.3511,NA,0.1468,26-Jul,G9,O,4-Aug,18-Aug,2,1.7,3,2,0.0183,0.0069,NA,NA,NA,NA,NA,NA,0.0082,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,14,H2,O,HEVI_NMNW_ND,NA,NA,NA,NA,NA,NA,398.5225,1,0.66767629
337,HEVI_NMNW_ND_16_H1_G,6.4081,0.1706,0.536,0.2663,0.004,0.0487,0.1296,NA,0.1783,NA,NA,26-Jul,G2,G,1-Aug,4-Aug,1,0.9,1,2,0.0049,0.0035,0.0021,0.000295,NA,NA,0.0016,7.00E-05,NA,0.000137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,16,H1,G,HEVI_NMNW_ND,NA,NA,NA,NA,NA,NA,467.7445255,0.272908367,0.48896532
340,HEVI_NMNW_ND_2_H1_O,4.8853,0.1855,0.5826,0.3796,0.006,0.0898,0.1787,NA,0.2685,NA,NA,26-Jul,E4,O,3-Aug,4-Aug,1,1.5,2,2,0.0123,0.0068,0.0058,0.00044,NA,NA,0.0034,0.00019,0.0026,0.000242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,2,H1,O,HEVI_NMNW_ND,NA,NA,NA,NA,NA,NA,201.8719008,0.277522936,0.408590308
344,HEVI_NMNW_ND_8_H1_O,3.3823,0.0947,0.2976,0.2801,0.002,0.0482,0.1073,NA,0.1555,NA,NA,26-Jul,E2,O,,4-Aug,1,1,NA,2,0.0036,0.0027,7.00E-04,2.00E-04,NA,NA,9.00E-04,9.00E-05,0.0016,0.000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004075,HEVI,NMNW,ND,8,H1,O,HEVI_NMNW_ND,NA,NA,NA,NA,NA,NA,322.1238095,0.265822785,0.378497202
345,MACA_NMNW_CU_1_H1_O,2.4653,0.0494,0.1553,0.2005,0.001,NA,0.0584,NA,0.0584,NA,NA,26-Jul,H2,O,,4-Aug,1,1.3,NA,2,0.0026,0.0025,0.003,0.0002007,NA,NA,0.0014,NA,0.0012,6.53E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,1,H1,O,MACA_NMNW_CU,NA,NA,NA,NA,NA,NA,377.418861,0.245545448,0.45825603
346,MACA_NMNW_CU_10_H4_G,1369.0876,40.2621,126.4871,0.2941,0.93,NA,NA,8.25,8.25,8.25,NA,26-Jul,E11,G,7-Aug,19-Oct,4,9.9,14,NA,2.237,0.8598,NA,NA,0.8598,0.1426,NA,NA,1.1071,0.108,0.1002,0.1067,0.0163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,10,H4,G,MACA_NMNW_CU,506.1349693,0.1067,NA,NA,0.1067,0.152764761,126.7673704,0.404645935,NA
347,MACA_NMNW_CU_11_H1_G,1.2937,0.0443,0.139,0.3421,0.001,NA,0.0544,NA,0.0544,NA,NA,6-Jul,A12,G,,17-Jul,1,0.6,NA,2,0.0029,0.0016,0.0028,0.0001675,NA,0.0002913,0.001,4.37E-05,5.00E-04,0.0001174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,11,H1,G,MACA_NMNW_CU,NA,NA,NA,NA,NA,NA,110.1959114,0.189385385,0.448834853
351,MACA_NMNW_CU_17_H4_O,3524.0641,130.4299,409.7577,0.7508,3.845,NA,NA,2.4491,2.4491,2.4491,NA,31-Jul,F6,O,8-Aug,23-Oct,4,16.1,34,6.901,2.962,NA,NA,NA,0.624,0.624,0.6466,0.1381,3.4828,0.4301,0.0569,0.0737,0.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,17,H4,O,MACA_NMNW_CU,216.7345133,0.0737,NA,NA,0.0737,0.153324288,81.9359242,0.357374325,NA
355,MACA_NMNW_CU_4_H4_G,2854.5693,100.0907,314.4441,0.7214,2.799,NA,NA,6.1038,6.1038,6.1038,NA,26-Jul,E3,G,2-Aug,19-Oct,4,15,23,NA,5.5528,2.1771,NA,NA,2.1771,0.3827,NA,NA,3.1806,0.2714,0.1923,0.1923,0.0321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,4,H4,G,MACA_NMNW_CU,190.1495327,0.1923,NA,NA,0.1923,0.166926677,105.1794141,0.395511513,NA
357,MACA_NMNW_CU_8_H1_O,3.137,0.1088,0.3417,0.3467,0.003,NA,0.0924,NA,0.0924,NA,NA,6-Jul,C6,O,,17-Jul,1,0.8,NA,2,0.0049,0.0028,0.0019,6.54E-05,NA,NA,4.00E-04,NA,0.0018,4.32E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225,MACA,NMNW,CU,8,H1,O,MACA_NMNW_CU,NA,NA,NA,NA,NA,NA,726.1574074,0.397790055,0.540755467
361,MACA_NMNW_FC_12_H1_G,3.5041,0.069,0.2168,0.197,0.001,NA,0.1108,NA,0.1108,NA,NA,28-Jul,G12,G,7-Aug,7-Aug,1,1.2,2,2,0.0059,0.0035,0.0013,4.00E-04,4.00E-04,5.00E-05,0.001,NA,5.00E-04,0.0001039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,12,H1,G,MACA_NMNW_FC,NA,NA,NA,NA,NA,0.125,337.2569779,0.187578985,0.383759733
362,MACA_NMNW_FC_12_H1_O,2.7713,0.06,0.1885,0.2166,0.001,NA,0.076,NA,0.076,NA,NA,28-Jul,G3,O,7-Aug,7-Aug,1,1.7,2,2,0.0042,0.0043,0.0029,0.0001997,1.00E-04,3.93E-05,0.0022,4.00E-04,7.00E-04,0.0001204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,12,H1,O,MACA_NMNW_FC,NA,NA,NA,NA,NA,0.393,230.1744186,0.158546221,0.441176471
364,MACA_NMNW_FC_14_H3_G,264.6555,6.0307,18.9459,0.2279,0.108,NA,0.0722,NA,3.1559,NA,3.0837,28-Jul,H3,G,9-Aug,8-Sep,3,6.1,10,NA,0.2339,0.0854,0.0776,0.0091,0.0035,NA,NA,NA,0.01261,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,14,H3,G,MACA_NMNW_FC,NA,NA,NA,NA,NA,NA,395.008209,0.424050633,0.656467028
367,MACA_NMNW_FC_18_H4_O,NA,NA,NA,NA,NA,NA,NA,2.9318,5.7601,2.9318,2.8283,31-Jul,F10,O,11-Aug,23-Oct,4,14.5,NA,NA,5.883,2.8927,NA,NA,2.0091,0.547,0.0656,0.005,3.33,0.3312,0.0829,0.0913,0.0166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,18,H4,O,MACA_NMNW_FC,176.6144578,0.0913,NA,NA,0.0913,0.181818182,NA,0.368081796,NA
368,MACA_NMNW_FC_19_H4_G,4777.7502,181.2656,569.4628,1.0924,5.587,NA,NA,5.4642,5.4642,5.4642,NA,13-Jul,G5,G,7-Aug,30-Oct,4,21.9,79,NA,9.6207,4.4775,NA,NA,3.508,0.6778,0.7997,0.227,4.6425,0.4859,0.141,0.1589,0.0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,19,H4,G,MACA_NMNW_FC,205.4210526,0.1589,NA,NA,0.1589,0.167400881,98.32784935,0.342834968,NA
373,MACA_NMNW_FC_5_H1_G,2.5605,0.0482,0.1513,0.1881,0.001,NA,0.0468,NA,0.0468,NA,NA,6-Jul,C4,G,,17-Jul,1,1.1,NA,2,0.0025,0.0023,0.0015,0.0001692,NA,7.25E-05,NA,NA,4.00E-04,2.04E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,5,H1,G,MACA_NMNW_FC,NA,NA,NA,NA,NA,NA,1255.147059,0.077832888,0.507368421
374,MACA_NMNW_FC_7_H1_G,1.323,0.0365,0.1148,0.2761,0.001,NA,0.1025,NA,0.1025,NA,NA,6-Jul,C6,G,,17-Jul,1,0.9,NA,2,0.0026,0.0024,0.0024,4.00E-04,NA,NA,NA,NA,4.00E-04,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003025,MACA,NMNW,FC,7,H1,G,MACA_NMNW_FC,NA,NA,NA,NA,NA,NA,264.6,0.111111111,0.262589928
377,MACA_UTC_MK_12_H4_O,1507.2165,63.2881,198.8252,0.8486,2.105,NA,NA,3.6472,3.6472,3.6472,NA,9-Aug,I8,O,15-Aug,2-Nov,4,9.1,15,NA,3.4272,1.2973,NA,NA,1.3351,0.02273,NA,NA,NA,0.1487,0.1042,0.1035,0.0172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTC,MK,12,H4,O,MACA_UTC_MK,212.0465116,0.1042,NA,NA,0.1042,0.165067179,101.3595494,0.78831575,NA
381,MACA_UTC_MK_17_H1_O,4.5652,0.1573,0.4941,0.3445,0.004,NA,0.1101,NA,0.1244,NA,0.0143,10-Aug,J2,O,,22-Aug,1,2.1,2,2,0.0081,0.0048,0.0018,4.00E-04,NA,NA,0.001,3.00E-04,0.0028,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTC,MK,17,H1,O,MACA_UTC_MK,NA,NA,NA,NA,NA,NA,152.1733333,0.3,0.558395456
384,MACA_UTC_MK_5_H1_G,4.2939,0.1138,0.3574,0.2649,0.002,NA,0.0885,NA,0.0885,NA,NA,6-Jul,B7,G,,17-Jul,1,1.6,NA,2,0.0057,0.0039,0.0022,0.000159,NA,NA,0.005,2.00E-04,0.0018,0.0001605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTC,MK,5,H1,G,MACA_UTC_MK,NA,NA,NA,NA,NA,NA,267.5327103,0.308950914,0.562530895
385,MACA_UTC_MK_5_H1_O,4.3302,0.1144,0.3596,0.2643,0.002,NA,0.1243,NA,0.1243,NA,NA,6-Jul,C4,O,,17-Jul,1,1,NA,2,0.0069,0.0049,0.0052,0.000482,NA,NA,0.0014,NA,0.0031,0.0005102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTC,MK,5,H1,O,MACA_UTC_MK,NA,NA,NA,NA,NA,NA,84.87259898,0.514210845,0.479262673
393,MACA_UTNE_BON_12_H1_O,2.6201,0.0585,0.1837,0.2232,0.001,NA,0.0508,NA,0.0508,NA,NA,24-Jul,E12,O,,3-Aug,1,1.6,NA,2,0.0027,0.0011,0.0012,5.00E-05,NA,NA,NA,NA,8.00E-04,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,MACA,UTNE,BON,12,H1,O,MACA_UTNE_BON,NA,NA,NA,NA,NA,NA,87.33666667,0.857142857,0.535224154
394,MACA_UTNE_BON_14_H4_O,2525.8583,87.6087,275.2305,0.9827,2.42,NA,NA,5.2311,5.2311,5.2311,NA,9-Aug,I10,O,17-Aug,2-Nov,4,14.6,109,NA,8.9812,4.103,NA,NA,3.6422,0.6099,0.251,0.0587,4.3236,0.302,0.1714,0.1802,0.0277,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,MACA,UTNE,BON,14,H4,O,MACA_UTNE_BON,188.8483755,0.1802,NA,NA,0.1802,0.153718091,83.63769205,0.302514274,NA
401,MACA_UTNE_BON_9_H1_O,2.6244,0.0582,0.1827,0.2216,0.001,NA,0.0228,NA,0.0228,NA,NA,24-Jul,F5,O,,3-Aug,1,0.5,NA,2,0.0026,5.00E-04,2.00E-04,6.13E-05,NA,NA,NA,NA,5.00E-04,0.0001096,0.1269,0.127,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,MACA,UTNE,BON,9,H1,O,MACA_UTNE_BON,NA,0.127,NA,NA,0.127,0.140944882,239.4525547,0.006065,0.718518519
402,MACA_UTSE_CSR_1_H1_G,3.9,0.0698,0.2193,0.179,0.001,NA,0.0775,NA,0.0775,NA,NA,3-Jul,B2,G,,14-Jul,1,1.7,2,NA,NA,NA,0.0036,0.000809,6.00E-04,5.00E-05,0.0015,NA,0.0013,2.98E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,1,H1,G,MACA_UTSE_CSR,NA,NA,NA,NA,NA,0.083333333,1308.724832,0.033528353,0.473862865
407,MACA_UTSE_CSR_15_H1_O,0.442,0.0202,0.0636,0.4581,0.001,NA,0.0606,NA,0.0606,NA,NA,6-Jul,C7,O,,17-Jul,1,1,NA,2,0.0038,0.003,NA,0.0001397,NA,NA,NA,NA,1.00E-04,3.43E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,15,H1,O,MACA_UTSE_CSR,NA,NA,NA,NA,NA,NA,128.8629738,0.197126437,0.25
409,MACA_UTSE_CSR_2_H1_O,3.6907,0.0914,0.2871,0.2476,0.002,NA,0.1124,NA,0.1124,NA,NA,26-Jul,E3,O,2-Aug,4-Aug,1,1.2,2,2,0.0045,0.0031,0.0029,9.00E-04,NA,NA,0.0015,5.00E-05,0.0025,0.0001656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,2,H1,O,MACA_UTSE_CSR,NA,NA,NA,NA,NA,NA,222.8683575,0.148440301,0.448478901
410,MACA_UTSE_CSR_3_H4_G,2630.2408,76.8639,241.4753,0.5932,1.768,NA,NA,2.8566,2.8566,2.8566,NA,26-Jul,G11,G,8-Aug,19-Oct,4,11,NA,NA,4.6375,2.5032,NA,NA,NA,0.3892,NA,NA,1.9032,0.1507,0.0693,0.0723,0.0123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,3,H4,G,MACA_UTSE_CSR,232.2439024,0.0723,NA,NA,0.0723,0.170124481,174.5348905,0.272908367,NA
411,MACA_UTSE_CSR_4_H3_G,NA,NA,NA,NA,NA,NA,NA,NA,16.3986,NA,16.3986,26-Jul,H11,G,2-Aug,6-Sep,3,7.1,11,NA,0.6709,0.5123,NA,NA,0.2085,0.0531,0.0149,0.0046,0.154,0.0112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,4,H3,G,MACA_UTSE_CSR,308.8248588,NA,NA,NA,NA,0.254676259,NA,0.162554427,NA
414,MACA_UTSE_CSR_7_H1_G,0.8332,0.0292,0.0917,0.3502,0.001,NA,0.0531,NA,0.0531,NA,NA,6-Jul,D4,G,,17-Jul,1,0.6,NA,2,0.002,0.0015,0.0018,0.0001075,NA,NA,NA,NA,6.00E-04,9.23E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,MACA,UTSE,CSR,7,H1,G,MACA_UTSE_CSR,NA,NA,NA,NA,NA,NA,90.2708559,0.461961962,0.354799514
417,MACA_UTSW_BJ_13_H3_G,781.0457,21.9564,68.9779,0.5796,0.486,NA,NA,1.335,1.335,1.335,NA,31-Jul,F2,G,1-Aug,12-Sep,3,7.5,11,NA,1.4549,0.5343,NA,NA,0.3226,0.0839,NA,NA,0.5336,0.0375,0.0341,0.034,0.0037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTSW,BJ,13,H3,G,MACA_UTSW_BJ,360.8108108,0.0341,NA,NA,0.0341,0.108504399,208.2788533,0.299760192,NA
420,MACA_UTSW_BJ_15_H4_O,6595.565,235.8604,740.9773,0.7193,6.627,NA,NA,3.632,3.632,3.632,NA,31-Jul,E2,O,2-Aug,23-Oct,4,10.9,58,NA,8.0021,NA,NA,NA,NA,1.3604,NA,NA,6.2595,0.4584,0.1259,0.132,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTSW,BJ,15,H4,O,MACA_UTSW_BJ,172.952381,0.132,NA,NA,0.132,0.159090909,143.882308,0.249157517,NA
422,MACA_UTSW_BJ_3_H1_G,1.3413,0.039,0.1225,0.2908,0.001,NA,0.1123,NA,0.1123,NA,NA,6-Jul,D10,G,,17-Jul,1,0.6,NA,2,0.0033,0.0029,0.0031,0.0002806,NA,NA,NA,NA,9.00E-04,8.08E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTSW,BJ,3,H1,G,MACA_UTSW_BJ,NA,NA,NA,NA,NA,NA,166.0024752,0.223574986,0.257766028
424,MACA_UTSW_BJ_7_H1_O,1.1758,0.041,0.1287,0.3485,0.001,NA,0.1438,NA,0.1438,NA,NA,12-Jul,C5,O,,21-Jul,1,1.5,NA,2,0.0056,0.0042,0.0018,3.00E-04,NA,NA,4.00E-04,NA,8.00E-04,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACA,UTSW,BJ,7,H1,O,MACA_UTSW_BJ,NA,NA,NA,NA,NA,NA,235.16,0.142857143,0.221861472
434,MUPO_AZSE_BRR_4_H4_G,3009.5285,83.8022,263.2724,0.5188,1.908,NA,NA,4.0339,4.0339,NA,NA,24-Jul,C1,G,NA,16-Oct,4,69.2,100,NA,5.6091,3.1054,NA,NA,2.5902,0.6096,NA,NA,2.1274,0.2727,0.0329,0.0465,0.00658,0.0232,0.0269,0.0042,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,BRR,4,H4,G,MUPO_AZSE_BRR,374.2022263,0.0465,0.0269,NA,0.0734,0.146866485,110.3604144,0.305347785,NA
442,MUPO_AZSE_MRR_12_H4_G,3406.3654,111.2045,349.3591,0.6275,3.021,NA,NA,2.3773,2.3773,2.3773,NA,28-Jul,A10,G,NA,25-Oct,4,90,NA,NA,NA,4.558,NA,NA,4.558,0.9243,NA,NA,2.404,0.4066,0.0215,0.0246,0.0036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,MRR,12,H4,G,MUPO_AZSE_MRR,660.3611111,0.0246,NA,NA,0.0246,0.146341463,83.77681751,0.304683402,NA
447,MUPO_AZSE_MRR_16_H4_O,3440.2047,106.383,334.212,0.5255,2.661,NA,NA,7.2127,7.2127,NA,NA,28-Jul,C5,O,NA,20-Oct,4,61.4,NA,NA,NA,3.9236,NA,NA,3.9236,0.6219,NA,NA,4.1912,0.5079,0.1169,0.0794,0.0157,0.0178,0.015,0.0022,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,MRR,16,H4,O,MUPO_AZSE_MRR,402.9441341,0.1169,0.0178,NA,0.1347,0.132887899,67.73389841,0.442537248,NA
450,MUPO_AZSE_MRR_5_H4_O,3102.4923,92.3257,290.0498,0.5543,2.355,NA,NA,3.1587,3.1587,NA,NA,24-Jul,A12,O,NA,16-Oct,4,49.2,113,NA,5.0602,2.328,NA,NA,2.327,0.5151,NA,NA,2.6834,0.3775,0.0147,0.0293,0.0022,0.028,0.0158,0.0046,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,MRR,5,H4,O,MUPO_AZSE_MRR,464.5147059,0.0293,0.028,NA,0.0573,0.118673647,82.18522649,0.419724261,NA
454,MUPO_AZSE_SIT_10_H4_O,932.5138,24.2399,76.1518,0.2599,0.495,NA,NA,2.0015,2.0015,2.0015,NA,28-Jul,C6,O,NA,27-Oct,4,38.2,NA,NA,1.4604,0.6907,NA,NA,0.6907,0.1447,NA,NA,0.4021,0.07,0.0167,0.0167,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,SIT,10,H4,O,MUPO_AZSE_SIT,667.1666667,0.0167,NA,NA,0.0167,0.179640719,133.2162571,0.321543408,NA
460,MUPO_AZSE_SIT_19_H4_O,1000.8156,30.3564,95.3675,0.3033,0.723,NA,NA,2.6128,2.6128,2.6128,NA,28-Jul,A5,O,NA,20-Oct,4,40.5,43,NA,2.1795,1.2624,NA,NA,1.1304,0.2082,NA,NA,0.8275,0.0777,0.0237,0.0237,0.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,SIT,19,H4,O,MUPO_AZSE_SIT,593.8181818,0.0237,NA,NA,0.0237,0.185654008,128.8050965,0.267654151,NA
463,MUPO_AZSE_SIT_4_H4_G,1582.8342,55.5646,174.5614,0.702,1.533,NA,NA,11.4082,11.4082,NA,NA,24-Jul,A6,G,NA,17-Oct,4,38.4,30,NA,1.9622,0.6614,NA,NA,0.9012,0.1409,NA,NA,0.8472,0.139,0.2113,0.2113,0.04226,0.0232,0.0232,0.0038,NA,NA,NA,NA,NA,NA,NA,MUPO,AZSE,SIT,4,H4,G,MUPO_AZSE_SIT,247.6812853,0.2113,0.0232,NA,0.2345,0.19641791,113.872964,0.426432691,NA
467,PAMU_AZNC_WMR_1_H1_B,4.7567,0.1057,0.332,0.2222,0.002,NA,NA,NA,0.0511,NA,0.0511,7-Aug,E11,B,,18-Aug,1,0.7,NA,2,0.0028,0.0014,NA,NA,NA,NA,NA,NA,0.0017,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,1,H1,B,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,951.34,1,0.674107143
468,PAMU_AZNC_WMR_1_H1_R,6.5703,0.1768,0.5556,0.2692,0.004,NA,NA,NA,0.1384,NA,0.1384,7-Aug,H5,R,,18-Aug,1,0.7,NA,2,0.0056,0.0028,0.0019,6.00E-04,NA,NA,4.00E-04,NA,0.0036,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,1,H1,R,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,1314.06,0.076923077,0.560913706
469,PAMU_AZNC_WMR_10_H4_B,5232.3279,186.0228,584.4078,1.0724,5.21,NA,NA,12.3492,12.3492,NA,NA,18-Aug,G1,B,28-Aug,20-Nov,4,13.3,68,NA,NA,7.5139,NA,NA,7.341,1.006,0.2029,0.035,3.4321,0.2857,0.1424,0.14,0.0211,0.3098,0.3255,0.0415,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,10,H4,B,PAMU_AZNC_WMR,197.2715655,0.1424,0.3255,NA,0.4679,0.133789271,183.1406335,0.20564313,NA
470,PAMU_AZNC_WMR_11_H4_R,1492.2641,62.6756,196.9011,0.42,2.067,NA,NA,12.6452,12.6452,NA,NA,18-Aug,H12,R,,14-Nov,4,9,19,NA,4.8602,2.4802,NA,NA,2.2917,0.2908,NA,NA,2.132,0.1274,NA,0.1359,0.0178,NA,0.2381,0.0285,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,11,H4,R,PAMU_AZNC_WMR,273.1144708,NA,NA,NA,NA,0.1268927,117.13219,0.274273412,NA
471,PAMU_AZNC_WMR_2_H2_B,12.8537,0.2641,0.8298,0.2055,0.004,NA,NA,NA,0.1629,NA,0.1629,7-Aug,H8,B,31-Aug,1-Sep,2,0.4,NA,2,0.0071,0.0032,0.0013,1.00E-04,NA,NA,0.0011,NA,0.0033,0.000134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,2,H2,B,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,959.2313433,0.572649573,0.618501171
472,PAMU_AZNC_WMR_2_H2_R,12.5704,0.2978,0.9357,0.2369,0.006,NA,NA,NA,0.3104,NA,0.3104,7-Aug,H9,R,31-Aug,1-Sep,2,0.0111,NA,2,0.0111,0.0063,5.00E-04,5.00E-05,NA,NA,7.00E-04,NA,0.0042,0.000182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004925,PAMU,AZNC,WMR,2,H2,R,PAMU_AZNC_WMR,NA,NA,NA,NA,NA,NA,690.6813187,0.784482759,0.489641565
